NTRDBT,JOINT,ORGD1FPRSE,PRFILE,SUCCESS,DISTSUCCESS,FEEP,FEEI,FEEW,REALPROPNULL,REALPROPNONE,REALPROPVALUE,REALPROPVALUESQR,REALPROPVALUELOG,PERSPROPNULL,PERSPROPVALUE,PERSPROPVALUESQR,PERSPROPVALUELOG,UNSECNPRNULL,UNSECNPRVALUE,UNSECNPRVALUESQR,UNSECNPRVALUELOG,UNSECEXCESS,UNSECPRNULL,UNSECPRVALUE,UNSECPRVALUESQR,UNSECPRVALUELOG,AVGMNTHINULL,AVGMNTHIVALUE,AVGMNTHIVALUESQR,AVGMNTHIVALUELOG,IEINDEX,IEGAP
0,0,1,1,0,0.3096,0,1,0,0,0,240000,57600000000,12.3884,1,17889,320016321,9.7919,1,29784,887086656,10.3017,0,1,0,0,0,1,3301,10896601,8.102,1,0
0,0,0,0,0,0.6579,0,0,0,0,0,75000,5625000000,11.2252,0,2500,6250000,7.824,0,13724.7,188367390.1,9.527,0,0,0,0,0,0,1903,3621409,7.5512,1.4832,620
0,0,1,1,0,0.4344,0,1,0,1,0,140000,19600000000,11.8494,1,17889,320016321,9.7919,1,29784,887086656,10.3017,0,1,0,0,0,1,3301,10896601,8.102,1,0
0,0,0,0,0,0.5872,0,0,0,0,0,30000,900000000,10.309,0,17000,289000000,9.741,0,19835.4,393443093.2,9.8952,0,0,3989.79,15918424.24,8.2915,0,1718.6,2953585.96,7.4493,1.3554,450.6
0,0,0,1,0,0.5296,0,0,0,0,0,275000,75625000000,12.5245,0,16500,272250000,9.7111,0,29784,887086656,10.3017,1,0,0,0,0,0,0,0,0,0,-8716
0,0,0,1,1,0.458,0,0,0,0,0,112800,12723840000,11.6334,0,9797,95981209,9.1898,0,12421,154281241,9.4271,0,0,2574,6625476,7.8532,0,2202.52,4851094.35,7.6974,1.0988,198.12
0,0,0,0,0,0.5897,0,0,0,1,0,140000,19600000000,11.8494,1,17889,320016321,9.7919,1,29784,887086656,10.3017,0,1,0,0,0,1,3301,10896601,8.102,1,0
0,0,0,0,0,0.4828,0,0,0,0,0,150000,22500000000,11.9184,0,7237,52374169,8.887,0,31997.04,1023810569,10.3734,0,0,1969,3876961,7.5853,0,6032.74,36393951.91,8.705,1.7486,2582.74
0,0,0,1,0,0.4655,0,1,0,0,0,85659,7337464281,11.3581,0,24680,609102400,10.1137,0,13110.03,171872886.6,9.4811,0,0,39,1521,3.6636,0,8260.15,68230078.02,9.0192,2.0066,4143.65
0,0,0,0,0,0.597,0,0,0,0,0,360000,1.296E+11,12.7939,0,18880,356454400,9.8459,0,26531.98,703945962.7,10.1861,0,0,0,0,0,0,9957.83,99158378.31,9.2061,0.6802,-4682.17
0,0,0,0,0,0.3096,0,0,0,0,0,289500,83810250000,12.5759,0,17459,304816681,9.7676,0,75665,5725192225,11.2341,0,0,0,0,0,0,6108.56,37314505.27,8.7174,1.2869,1361.72
0,1,0,0,1,0.5692,0,0,0,0,0,207300,42973290000,12.2419,0,25267,638421289,10.1373,0,70988,5039296144,11.1703,0,0,0,0,0,0,3043.34,9261918.356,8.0207,1.255,618.34
0,0,0,0,0,0.6743,0,0,0,0,0,169000,28561000000,12.0377,0,19650,386122500,9.8858,0,7968.37,63494920.46,8.9832,0,0,1822.78,3322526.928,7.5081,0,2433.6,5922408.96,7.7971,1.1906,389.6
0,1,0,0,1,0.6186,0,0,0,0,0,65000,4225000000,11.0821,0,30225,913550625,10.3164,0,38265.7,1464263796,10.5523,0,0,0,0,0,0,4430.64,19630570.81,8.3963,0.9842,-71.03
0,1,0,0,1,0.6488,0,0,0,0,1,0,0,0,0,20650,426422500,9.9355,0,76306.2,5822636158,11.2425,0,0,0,0,0,0,1423,2024929,7.2605,0.8629,-226
0,0,0,0,0,0.469,0,0,0,0,0,40050,1604002500,10.5979,0,15908,253064464,9.6746,0,37903.23,1436654844,10.5428,0,0,0,0,0,0,4345.36,18882153.53,8.3769,1.5393,1522.36
0,0,0,1,1,0.597,0,0,0,0,0,287000,82369000000,12.5672,0,83702.77,7006153706,11.335,0,25910.4,671348828.2,10.1624,0,0,1179.9,1392164.01,7.0732,0,3721.5,13849562.25,8.2219,1.0789,272.25
0,1,0,0,0,0.5407,0,0,0,0,0,210000,44100000000,12.2549,0,26625,708890625,10.1896,0,16849,283888801,9.732,0,0,350,122500,5.8579,0,5144.84,26469378.63,8.5457,1.0799,380.84
0,1,0,0,0,0.458,0,0,0,0,0,70000,4900000000,11.1563,0,50040,2504001600,10.8206,0,27811.83,773497887.9,10.2332,0,0,0,0,0,0,3656,13366336,8.2041,1.047,164
0,1,0,1,0,0.4455,0,0,0,0,0,70000,4900000000,11.1563,0,8205,67322025,9.0125,0,16969,287946961,9.7391,0,0,3324,11048976,8.1089,0,3979,15832441,8.2888,1.1047,377
0,1,0,0,0,0.5354,0,0,0,0,0,325700,1.0608E+11,12.6937,0,64075,4105605625,11.0678,0,119192.34,14206813915,11.6885,0,0,23300.83,542928678.7,10.0562,0,4977.88,24779289.29,8.5128,1.3801,1370.88
0,1,0,0,1,0.4344,0,0,0,0,0,75000,5625000000,11.2252,0,19190,368256100,9.8621,0,15221,231678841,9.6304,0,0,0,0,0,0,2353,5536609,7.7634,1.0686,151
0,0,0,0,1,0.469,0,0,0,0,0,51000,2601000000,10.8396,0,6925,47955625,8.8429,0,36539,1335098521,10.5061,0,0,0,0,0,0,2707,7327849,7.9036,1.4084,785
0,1,0,0,1,0.6255,0,0,0,0,0,68000,4624000000,11.1273,0,12319,151757761,9.4189,0,133000.41,17689109060,11.7981,0,0,0,0,0,0,4690.78,22003417.01,8.4534,1.3764,1282.87
0,0,0,0,0,0.6255,0,0,0,0,1,0,0,0,0,27712.5,767982656.3,10.2296,0,33344.1,1111829005,10.4146,0,0,0,0,0,0,2025.58,4102974.336,7.6136,1.0519,100
0,0,0,1,0,0.4239,0,0,0,0,0,323500,1.04652E+11,12.687,0,2785,7756225,7.932,0,36520,1333710400,10.5056,0,0,0,0,0,0,3533.77,12487530.41,8.1701,1.1057,337.77
0,1,0,0,1,0.4293,0,0,0,0,0,100652,10130825104,11.5194,0,55674,3099594276,10.9273,0,183249,33580196001,12.1186,0,0,3085,9517225,8.0343,0,5824.26,33922004.55,8.6698,1.4652,1849.26
0,0,0,0,1,0.5883,0,1,0,0,1,0,0,0,0,8985.03,80730764.1,9.1033,0,26835.29,720132789.4,10.1975,0,0,0,0,0,0,2418.69,5850061.316,7.791,1.1044,228.69
0,0,0,1,0,0.5883,0,1,0,0,0,173069,29952878761,12.0614,0,6600,43560000,8.7948,0,60797,3696275209,11.0153,0,0,0,0,0,0,3785,14326225,8.2388,1.2039,641
0,1,0,0,1,0.5296,0,0,0,0,0,222973,49716958729,12.3148,0,56501.9,3192464704,10.942,0,9961.49,99231283.02,9.2065,0,0,0,0,0,0,3910.48,15291853.83,8.2714,0.9229,-326.52
0,1,0,0,1,0.5887,0,0,0,0,0,65300,4264090000,11.0867,0,43318,1876449124,10.6763,0,37402.22,1398926061,10.5295,0,0,1490.78,2222425.008,7.3071,0,5598.8,31346561.44,8.6303,1.0738,384.94
0,1,0,0,1,0.3525,0,0,0,0,0,160000,25600000000,11.9829,0,25094,629708836,10.1304,0,85758,7354434564,11.3593,0,0,0,0,0,0,5798,33616804,8.6653,1.1171,608
0,1,0,0,1,0.6579,0,0,0,0,0,62000,3844000000,11.0349,0,47700,2275290000,10.7727,0,86589.83,7497798659,11.3689,0,0,605.15,366206.5225,6.4055,0,5104.7,26057962.09,8.5379,1.9822,2529.42
0,1,0,0,0,0.4523,0,1,0,0,1,0,0,0,0,15714.93,246959024.9,9.6624,0,36633.86,1342039698,10.5087,0,0,0,0,0,0,2103.08,4422945.486,7.6512,1.2458,415
0,0,0,0,0,0.5502,0,0,0,0,0,130000,16900000000,11.7753,0,5290,27984100,8.5736,0,1500,2250000,7.3132,0,0,3407.88,11613646.09,8.1338,0,3452,11916304,8.1467,1.8948,1630.17
0,1,0,1,0,0.3525,0,0,0,0,0,25000,625000000,10.1266,0,37950,1440202500,10.544,0,25438,647091844,10.144,0,0,1138,1295044,7.037,0,2369.77,5615809.853,7.7705,1.1284,269.68
0,0,0,0,0,0.5412,0,0,0,0,1,0,0,0,0,13550.78,183623638.6,9.5142,0,25328,641507584,10.1397,0,0,2800,7840000,7.9374,0,1970.19,3881648.636,7.5859,1.6388,768
